               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10298,            0.034333,            0.043144,          0.00079273,            0.044118,          0.00062196,          0.00015752,            0.076021,            0.028537,            0.031593,             0.00058,             0.00058,             0.09478
                   1,            0.092975,            0.041344,            0.039823,           0.0075036,            0.093341,           0.0062745,           0.0013723,            0.071737,            0.030637,            0.029665,           0.0011697,           0.0011697,             0.08947
                   2,            0.088058,            0.044555,            0.035195,            0.011236,             0.19906,            0.011817,           0.0024506,            0.066793,            0.034565,            0.028977,           0.0017584,           0.0017584,            0.084158
                   3,            0.080984,            0.042602,            0.029372,            0.015557,             0.34291,            0.017015,            0.003731,            0.059847,            0.037876,              0.0221,           0.0023453,           0.0023453,            0.078845
                   4,            0.077661,            0.044023,            0.019966,             0.10982,             0.20335,             0.07596,            0.013563,            0.059325,            0.026522,            0.012529,           0.0029296,           0.0029296,             0.07353
                   5,            0.076524,            0.035678,            0.012672,             0.12328,             0.32264,             0.11189,            0.023423,            0.055696,            0.023639,            0.010794,           0.0035104,           0.0035104,             0.06821
                   6,              0.0777,            0.031205,           0.0091611,            0.090404,             0.51201,             0.10609,            0.029563,            0.049591,            0.029062,            0.007218,           0.0040872,           0.0040872,            0.062887
                   7,            0.074242,            0.027426,           0.0069682,             0.39494,             0.33613,             0.20242,            0.061204,             0.04661,            0.020851,           0.0044156,            0.004659,            0.004659,            0.057559
                   8,            0.072521,            0.026343,            0.005019,             0.30339,             0.45834,             0.35524,             0.13864,            0.044424,            0.021382,           0.0051505,           0.0052251,           0.0052251,            0.052225
                   9,            0.074038,            0.027237,            0.004743,             0.48478,             0.45962,             0.41668,             0.11523,              0.0455,            0.022019,           0.0045247,           0.0057848,           0.0057848,            0.046885
                  10,            0.070344,            0.028766,           0.0044495,              0.4054,             0.56026,             0.47862,             0.18647,            0.040618,            0.019626,           0.0038078,           0.0063373,           0.0063373,            0.041537
                  11,            0.070551,            0.024213,           0.0042105,             0.32285,             0.52269,             0.36726,             0.12084,            0.044213,            0.019018,           0.0041708,           0.0068819,           0.0068819,            0.036182
                  12,            0.069066,            0.026192,           0.0042129,             0.42416,             0.56495,             0.46286,             0.19909,            0.036849,            0.020653,           0.0023431,           0.0074179,           0.0074179,            0.030818
                  13,            0.064681,             0.02772,            0.004072,             0.52132,             0.53441,             0.35094,             0.12656,            0.041531,            0.017037,           0.0026438,           0.0079447,           0.0079447,            0.025445
                  14,            0.065468,            0.024751,           0.0037773,             0.51289,              0.5365,             0.40611,             0.12293,            0.043058,            0.018273,            0.002454,           0.0084614,           0.0084614,            0.020061
                  15,            0.064958,            0.024586,             0.00355,              0.5133,             0.61486,             0.56344,             0.22881,            0.035704,            0.018901,           0.0027304,           0.0089675,           0.0089675,            0.014667
                  16,            0.062891,            0.023977,           0.0039236,             0.39933,             0.70551,              0.5124,             0.15332,            0.038561,            0.016707,            0.001938,           0.0094434,           0.0094434,           0.0094434
                  17,            0.062151,            0.025004,           0.0035913,             0.35296,             0.65081,             0.47718,             0.15655,             0.03892,            0.016537,           0.0018806,           0.0094434,           0.0094434,           0.0094434
                  18,            0.058206,            0.023131,           0.0033879,             0.66445,             0.60146,             0.53606,             0.23094,            0.031981,            0.016561,           0.0017409,           0.0093733,           0.0093733,           0.0093733
                  19,            0.055249,            0.021659,           0.0027567,             0.62428,             0.69966,             0.69337,             0.31565,            0.029997,            0.016067,           0.0015965,           0.0092995,           0.0092995,           0.0092995
                  20,              0.0508,            0.023167,           0.0028453,             0.54301,             0.63915,             0.57858,             0.22963,             0.03113,             0.01558,             0.00139,           0.0092219,           0.0092219,           0.0092219
                  21,            0.049266,            0.020251,           0.0025652,              0.5191,             0.57098,             0.49731,             0.17227,            0.037458,            0.016832,           0.0023903,           0.0091406,           0.0091406,           0.0091406
                  22,            0.048087,            0.019881,           0.0025317,             0.51807,             0.59871,             0.57364,             0.25829,              0.0297,            0.014328,           0.0016252,           0.0090557,           0.0090557,           0.0090557
                  23,            0.050227,            0.020349,           0.0023734,             0.55572,             0.73855,             0.68834,             0.29681,            0.028103,            0.013827,           0.0014264,           0.0089673,           0.0089673,           0.0089673
                  24,            0.043886,            0.020261,           0.0023096,              0.6374,             0.73184,             0.67285,             0.37074,            0.024989,            0.013091,           0.0013585,           0.0088755,           0.0088755,           0.0088755
                  25,            0.040747,             0.01959,           0.0022389,             0.77719,             0.78299,             0.79034,             0.42176,            0.024991,            0.012607,           0.0011478,           0.0087804,           0.0087804,           0.0087804
                  26,             0.04032,             0.01893,           0.0020933,             0.69717,             0.68258,             0.72252,             0.35574,            0.029204,            0.012468,           0.0010805,            0.008682,            0.008682,            0.008682
                  27,            0.040985,            0.018313,           0.0020101,             0.77056,             0.77693,             0.80548,             0.46771,            0.023346,             0.01213,           0.0011179,           0.0085805,           0.0085805,           0.0085805
                  28,            0.038862,            0.017235,           0.0018626,             0.73729,             0.78287,             0.81087,             0.38248,            0.024663,            0.011998,           0.0010606,           0.0084759,           0.0084759,           0.0084759
                  29,             0.04193,             0.01661,           0.0018136,             0.76274,             0.74535,              0.7516,             0.33617,            0.027059,            0.012197,           0.0011542,           0.0083684,           0.0083684,           0.0083684
                  30,            0.038143,            0.018009,           0.0017227,             0.72069,             0.78254,             0.80313,             0.47357,            0.022854,            0.012125,           0.0010871,           0.0082581,           0.0082581,           0.0082581
                  31,            0.035916,            0.016533,           0.0018305,             0.76231,             0.84079,             0.83748,              0.4851,            0.022562,             0.01147,          0.00099347,            0.008145,            0.008145,            0.008145
                  32,            0.038878,            0.016742,           0.0016394,             0.68262,             0.81769,             0.80284,             0.35242,            0.026466,            0.011697,          0.00095639,           0.0080294,           0.0080294,           0.0080294
                  33,            0.037312,            0.016852,           0.0017467,             0.71006,             0.75974,             0.75375,              0.4562,            0.022381,            0.011468,           0.0010752,           0.0079112,           0.0079112,           0.0079112
                  34,            0.038361,            0.017335,           0.0017044,             0.72282,             0.72488,             0.75686,             0.35888,            0.025263,            0.011537,           0.0011594,           0.0077907,           0.0077907,           0.0077907
                  35,            0.034726,            0.017242,           0.0017138,             0.70906,             0.65676,             0.65471,             0.35404,            0.024941,            0.011205,           0.0010356,           0.0076679,           0.0076679,           0.0076679
                  36,            0.033406,            0.016857,           0.0015043,             0.59815,             0.85552,             0.75009,             0.42722,            0.021696,            0.011006,           0.0010529,            0.007543,            0.007543,            0.007543
                  37,            0.033437,            0.015551,           0.0015302,             0.75326,             0.77827,             0.77445,             0.43213,              0.0223,            0.011084,           0.0009311,            0.007416,            0.007416,            0.007416
                  38,            0.032885,            0.016432,            0.001441,             0.78679,             0.84642,             0.82824,             0.50972,            0.021732,            0.010951,          0.00088857,           0.0072872,           0.0072872,           0.0072872
                  39,            0.032383,            0.016269,           0.0013146,             0.81871,             0.84412,              0.8459,             0.52866,             0.02015,            0.010725,          0.00079337,           0.0071566,           0.0071566,           0.0071566
                  40,            0.032741,            0.016003,           0.0012283,             0.72914,             0.77452,             0.75621,             0.47413,            0.021867,            0.010527,          0.00073404,           0.0070243,           0.0070243,           0.0070243
                  41,            0.031804,            0.015706,            0.001136,             0.78845,             0.86107,             0.83521,             0.53322,             0.01969,            0.010721,          0.00068569,           0.0068906,           0.0068906,           0.0068906
                  42,            0.031416,            0.015697,           0.0011687,             0.80461,             0.87129,             0.85411,             0.52103,            0.021788,            0.010664,          0.00069927,           0.0067555,           0.0067555,           0.0067555
                  43,            0.032151,            0.015716,           0.0011421,             0.78002,             0.80159,              0.7902,             0.49939,            0.020948,            0.010484,          0.00077031,           0.0066191,           0.0066191,           0.0066191
                  44,            0.031014,            0.014522,            0.001146,              0.7678,             0.83288,             0.82172,             0.53012,            0.020376,            0.010292,           0.0007702,           0.0064816,           0.0064816,           0.0064816
                  45,            0.029846,            0.014521,           0.0011574,             0.79012,             0.85038,             0.85264,             0.55749,            0.019236,             0.01036,          0.00071121,           0.0063432,           0.0063432,           0.0063432
                  46,            0.030225,             0.01477,           0.0010647,             0.75897,             0.85596,             0.86194,             0.53604,             0.02094,            0.010272,          0.00065857,            0.006204,            0.006204,            0.006204
                  47,            0.029718,            0.013756,           0.0011859,             0.75417,             0.80837,             0.80407,             0.51048,            0.020834,            0.011865,           0.0010006,            0.006064,            0.006064,            0.006064
                  48,            0.028683,            0.015511,           0.0012541,             0.80102,             0.86183,             0.87238,             0.54499,            0.019636,            0.010383,          0.00062562,           0.0059235,           0.0059235,           0.0059235
                  49,            0.028043,            0.015533,          0.00098059,             0.80765,             0.84615,              0.8564,             0.55767,            0.019531,            0.010562,          0.00056871,           0.0057826,           0.0057826,           0.0057826
                  50,            0.028564,             0.01558,          0.00098256,              0.7735,             0.83261,             0.84241,             0.53494,            0.020645,            0.010619,          0.00052257,           0.0056413,           0.0056413,           0.0056413
                  51,            0.029012,            0.013746,          0.00093838,             0.78654,             0.86901,             0.87039,             0.56665,            0.019785,            0.010203,          0.00054089,              0.0055,              0.0055,              0.0055
                  52,            0.028364,            0.015021,          0.00085843,             0.80748,             0.87078,             0.87153,             0.57208,            0.018703,            0.010271,          0.00056554,           0.0053587,           0.0053587,           0.0053587
                  53,            0.028317,            0.014823,          0.00090903,             0.79577,             0.86721,             0.87874,             0.52462,            0.019588,            0.010312,          0.00054566,           0.0052174,           0.0052174,           0.0052174
                  54,            0.028686,            0.014528,           0.0009022,             0.83443,             0.83243,             0.86252,             0.52555,            0.020308,            0.010144,          0.00061675,           0.0050765,           0.0050765,           0.0050765
                  55,            0.028113,            0.014113,           0.0008925,             0.84402,             0.85389,              0.8785,             0.57641,            0.018514,            0.010022,           0.0006023,            0.004936,            0.004936,            0.004936
                  56,            0.027624,            0.013249,          0.00088719,             0.78459,             0.85759,             0.86472,             0.57332,            0.018909,            0.010018,          0.00060547,            0.004796,            0.004796,            0.004796
                  57,            0.027082,            0.014003,          0.00094684,             0.84461,             0.85177,             0.88039,              0.5812,            0.018617,            0.010084,          0.00061639,           0.0046568,           0.0046568,           0.0046568
                  58,            0.025958,            0.014547,          0.00095977,             0.84574,             0.86416,             0.88848,              0.5898,            0.018531,           0.0099881,          0.00056162,           0.0045184,           0.0045184,           0.0045184
                  59,            0.027276,            0.014117,          0.00075664,             0.83178,             0.90071,             0.90161,              0.6045,            0.018255,           0.0099384,          0.00049616,           0.0043809,           0.0043809,           0.0043809
                  60,            0.025587,             0.01466,          0.00078121,              0.8216,             0.90007,             0.88323,             0.59987,            0.017943,            0.010019,          0.00051622,           0.0042445,           0.0042445,           0.0042445
                  61,            0.025255,            0.013028,          0.00076726,             0.81512,               0.897,              0.8771,             0.57699,            0.018712,           0.0098945,          0.00048066,           0.0041094,           0.0041094,           0.0041094
                  62,            0.023976,            0.012816,          0.00068519,             0.85208,             0.87905,             0.88644,             0.59434,              0.0182,           0.0099302,          0.00043298,           0.0039757,           0.0039757,           0.0039757
                  63,            0.025821,            0.014046,             0.00071,             0.87803,              0.8609,             0.87899,              0.5874,            0.018418,           0.0099271,          0.00043313,           0.0038434,           0.0038434,           0.0038434
                  64,             0.02461,            0.013595,          0.00067947,             0.84308,             0.87878,             0.88691,             0.58877,            0.018794,           0.0099393,          0.00042476,           0.0037128,           0.0037128,           0.0037128
                  65,            0.025403,            0.013237,          0.00069433,             0.84116,             0.87952,             0.87933,               0.594,            0.018086,           0.0097816,          0.00041508,            0.003584,            0.003584,            0.003584
                  66,            0.024596,            0.012941,          0.00072521,             0.85017,             0.85536,              0.8719,             0.59532,            0.017977,           0.0098873,          0.00040284,            0.003457,            0.003457,            0.003457
                  67,            0.023813,             0.01279,          0.00066093,             0.81867,             0.86379,             0.86588,             0.59552,              0.0178,           0.0097468,          0.00038435,           0.0033321,           0.0033321,           0.0033321
                  68,            0.023788,            0.012718,          0.00058584,             0.80869,             0.89601,             0.88327,              0.5843,             0.01808,           0.0098372,          0.00037544,           0.0032093,           0.0032093,           0.0032093
                  69,            0.024135,            0.013602,          0.00057934,             0.84075,             0.88678,             0.88418,             0.60497,            0.017456,            0.009912,          0.00037471,           0.0030888,           0.0030888,           0.0030888
                  70,            0.023422,            0.012178,          0.00049076,             0.82935,             0.88364,             0.88862,             0.61443,            0.017261,           0.0098418,          0.00035178,           0.0029706,           0.0029706,           0.0029706
                  71,            0.023101,            0.012798,          0.00050932,             0.82779,             0.89478,             0.88597,             0.60971,            0.017366,           0.0098297,          0.00033886,            0.002855,            0.002855,            0.002855
                  72,            0.023298,            0.013202,          0.00047355,             0.84972,             0.88651,             0.88736,             0.60174,            0.017828,           0.0099621,          0.00033305,           0.0027419,           0.0027419,           0.0027419
                  73,             0.02387,            0.012484,          0.00049345,             0.85132,             0.89008,             0.89213,              0.6142,            0.017269,           0.0097673,          0.00032972,           0.0026316,           0.0026316,           0.0026316
                  74,            0.023001,            0.012643,           0.0004794,             0.86608,             0.89132,             0.89791,             0.61396,            0.017373,           0.0096801,          0.00032291,           0.0025241,           0.0025241,           0.0025241
                  75,            0.022978,             0.01312,          0.00050126,             0.86572,             0.89259,             0.90189,             0.62049,            0.017264,           0.0097597,          0.00032679,           0.0024195,           0.0024195,           0.0024195
                  76,            0.022142,             0.01192,          0.00047946,             0.85714,             0.89563,               0.904,             0.60686,            0.017728,           0.0097677,          0.00032764,            0.002318,            0.002318,            0.002318
                  77,            0.023139,             0.01301,          0.00045972,             0.85241,             0.91161,             0.91786,             0.62409,            0.017309,            0.009701,          0.00031654,           0.0022196,           0.0022196,           0.0022196
                  78,            0.022294,            0.011926,          0.00045137,             0.84935,             0.88865,             0.90945,             0.61823,            0.017313,           0.0096552,          0.00031212,           0.0021245,           0.0021245,           0.0021245
                  79,            0.021742,            0.012046,          0.00045706,             0.84495,             0.91721,             0.91311,             0.61124,            0.017702,           0.0097184,           0.0003002,           0.0020327,           0.0020327,           0.0020327
                  80,            0.022787,            0.013152,          0.00038916,             0.85959,             0.90706,             0.91589,              0.6245,            0.017211,           0.0097552,           0.0002882,           0.0019443,           0.0019443,           0.0019443
                  81,            0.021841,            0.011797,          0.00043135,              0.8498,             0.91576,             0.91442,             0.62375,             0.01734,           0.0098036,          0.00028659,           0.0018594,           0.0018594,           0.0018594
                  82,            0.021943,            0.012505,          0.00049814,             0.85428,             0.89713,             0.89409,             0.61548,            0.017328,           0.0098005,          0.00028491,           0.0017781,           0.0017781,           0.0017781
                  83,            0.021748,            0.012069,          0.00042172,             0.86689,             0.88766,             0.90041,             0.61735,            0.017345,           0.0097916,          0.00029218,           0.0017005,           0.0017005,           0.0017005
                  84,             0.02237,            0.012407,          0.00039387,             0.86745,              0.8991,             0.89944,             0.62174,            0.017167,           0.0097111,          0.00029157,           0.0016267,           0.0016267,           0.0016267
                  85,            0.021904,            0.012416,          0.00054279,             0.86615,             0.90615,             0.89901,             0.62068,             0.01727,           0.0096945,          0.00028288,           0.0015566,           0.0015566,           0.0015566
                  86,            0.022152,            0.012488,          0.00036071,              0.8549,             0.90123,             0.89937,             0.62502,            0.017222,           0.0096804,          0.00028143,           0.0014905,           0.0014905,           0.0014905
                  87,            0.022195,            0.012554,          0.00035118,             0.87601,             0.89598,             0.90267,             0.62892,            0.017357,           0.0097507,          0.00028235,           0.0014283,           0.0014283,           0.0014283
                  88,            0.021319,            0.012437,          0.00036395,             0.87061,             0.89943,             0.90184,             0.62581,            0.017277,           0.0098025,          0.00027729,           0.0013701,           0.0013701,           0.0013701
                  89,            0.022269,            0.012138,          0.00041772,             0.87112,             0.89976,             0.90732,             0.63356,             0.01711,           0.0098064,          0.00028625,            0.001316,            0.001316,            0.001316
                  90,            0.021907,            0.011666,          0.00035638,             0.89029,             0.87529,             0.90064,             0.63212,             0.01712,           0.0097908,          0.00027745,            0.001266,            0.001266,            0.001266
                  91,            0.021717,            0.012338,           0.0003675,             0.85021,             0.89979,             0.89784,             0.62444,            0.017202,           0.0097853,          0.00026668,           0.0012202,           0.0012202,           0.0012202
                  92,            0.021499,            0.012369,          0.00034498,             0.84813,             0.90365,             0.89908,             0.62733,            0.017215,           0.0097371,          0.00026304,           0.0011787,           0.0011787,           0.0011787
                  93,            0.021708,            0.012383,          0.00041022,             0.87896,             0.88253,              0.8979,             0.62464,            0.017215,            0.009731,           0.0002599,           0.0011414,           0.0011414,           0.0011414
                  94,            0.020921,            0.012194,          0.00032397,             0.88258,             0.88316,             0.89974,             0.62262,            0.017218,           0.0097843,           0.0002586,           0.0011084,           0.0011084,           0.0011084
                  95,            0.020928,            0.012065,          0.00039602,             0.87298,             0.88643,             0.89919,             0.62304,            0.017266,           0.0097513,          0.00025366,           0.0010797,           0.0010797,           0.0010797
                  96,            0.021732,            0.011397,          0.00037567,             0.86069,             0.90387,             0.89897,             0.62519,            0.017211,           0.0097448,          0.00025266,           0.0010554,           0.0010554,           0.0010554
                  97,            0.020438,            0.010852,          0.00034954,             0.85761,             0.90355,             0.89666,             0.62457,            0.017221,           0.0097264,          0.00024812,           0.0010355,           0.0010355,           0.0010355
                  98,            0.021014,            0.010814,          0.00030923,             0.86835,             0.90171,             0.90217,              0.6253,            0.017177,            0.009723,           0.0002412,             0.00102,             0.00102,             0.00102
                  99,            0.021727,            0.011926,          0.00034394,             0.86154,             0.90107,             0.89855,             0.62515,            0.017128,           0.0096075,          0.00023764,           0.0010089,           0.0010089,           0.0010089
